Row Labels,account_create,account_update,account_witness_proxy,account_witness_vote,claim_reward_balance,comment,comment_options,delete_comment,follow,post,resmoked,transfer,transfer_to_vesting,vote,withdraw_vesting,witness_update,Grand Total
26/02/2019,10,9,,18,189,100,,2,104,408,34,16,4,1230,5,1,2130
27/02/2019,10,6,1,97,192,108,,4,62,397,45,27,4,1236,8,2,2199
28/02/2019,13,4,,7,168,123,,2,59,408,46,12,5,1233,6,2,2088
01/03/2019,8,5,,,176,82,,4,43,287,30,14,5,1181,6,,1841
02/03/2019,9,4,,20,166,116,,,59,455,37,7,2,1258,2,,2135
03/03/2019,6,6,,6,165,95,,2,100,343,35,8,4,1231,1,,2002
04/03/2019,9,12,,3,169,96,,5,87,340,34,4,4,1117,2,1,1883
05/03/2019,6,2,,7,158,77,,2,61,318,43,4,1,1136,4,,1819
06/03/2019,3,3,,17,175,84,,2,63,246,33,21,2,1036,5,,1690
07/03/2019,8,3,,9,171,70,,,239,285,35,24,7,1028,1,4,1884
08/03/2019,9,9,,21,146,73,,2,62,296,21,25,8,1083,4,2,1761
09/03/2019,8,1,,3,158,75,,2,67,355,32,16,7,1083,5,,1812
10/03/2019,8,12,,4,148,112,,7,80,316,37,18,5,991,7,,1745
11/03/2019,13,3,,3,161,94,,1,59,235,32,8,,1123,3,,1735
12/03/2019,22,1,,29,132,69,,2,90,262,23,6,2,955,1,1,1595
13/03/2019,9,14,,2,157,86,,1,76,347,34,16,5,1145,3,,1895
14/03/2019,21,11,,10,137,108,,4,98,341,51,22,4,1188,6,,2001
15/03/2019,17,11,,4,159,106,,5,86,399,36,8,5,1301,1,,2138
16/03/2019,6,1,,12,158,93,,1,67,333,31,11,3,1092,3,,1811
17/03/2019,1,4,,6,154,65,,,44,206,22,12,7,912,5,1,1439
18/03/2019,15,4,,19,156,89,,2,54,298,37,10,4,1080,8,,1776
19/03/2019,13,8,,2,151,85,,3,61,217,22,12,3,946,2,,1525
20/03/2019,11,1,,19,132,71,,,36,246,15,23,4,826,4,1,1389
21/03/2019,9,4,,14,138,73,,3,49,271,23,21,8,1126,3,1,1743
22/03/2019,7,,,9,148,59,,,36,277,15,8,5,974,6,,1544
23/03/2019,55,11,,60,153,67,,1,93,242,35,4,2,1365,8,1,2097
24/03/2019,16,4,,18,134,90,,5,39,216,42,10,3,926,11,1,1515
